,Mon,Tue,Wed,Thu,Fri
10:00,NA,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Government Orders
10:15,NA,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Government Orders
10:30,NA,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Government Orders
10:45,NA,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Government Orders
11:00,Private Members' Business,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Statements by Members
11:15,Private Members' Business,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Oral Questions
11:30,Private Members' Business,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Oral Questions
11:45,Private Members' Business,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Oral Questions
12:00,Government Orders,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
12:15,Government Orders,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
12:30,Government Orders,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
12:45,Government Orders,Routine Proceedings; Government Orders,NA,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
13:00,Government Orders,Routine Proceedings; Government Orders,Review of Delegated Legislation,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
13:15,Government Orders,Routine Proceedings; Government Orders,Review of Delegated Legislation,Routine Proceedings; Government Orders,Routine Proceedings; Government Orders
13:30,Government Orders,Routine Proceedings; Government Orders,Review of Delegated Legislation,Routine Proceedings; Government Orders,Private Members' Business
13:45,Government Orders,Routine Proceedings; Government Orders,Review of Delegated Legislation,Routine Proceedings; Government Orders,Private Members' Business
14:00,Statements by Members,Statements by Members,Statements by Members,Statements by Members,Private Members' Business
14:15,Oral Questions,Oral Questions,Oral Questions,Oral Questions,Private Members' Business
14:30,Oral Questions,Oral Questions,Oral Questions,Oral Questions,NA
14:45,Oral Questions,Oral Questions,Oral Questions,Oral Questions,NA
15:00,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
15:15,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
15:30,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
15:45,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
16:00,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
16:15,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
16:30,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
16:45,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
17:00,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
17:15,Routine Proceedings; Government Orders,Government Orders,Routine Proceedings; Notices of Motions for the Production of Paper; Government Orders,Government Orders,NA
17:30,Routine Proceedings; Government Orders,Private Members' Business,Private Members' Business,Private Members' Business,NA
17:45,Routine Proceedings; Government Orders,Private Members' Business,Private Members' Business,Private Members' Business,NA
18:00,Routine Proceedings; Government Orders,Private Members' Business,Private Members' Business,Private Members' Business,NA
18:15,Routine Proceedings; Government Orders,Private Members' Business,Private Members' Business,Private Members' Business,NA
18:30,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,NA
18:45,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,NA
19:00,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,Adjournment Proceedings,NA